  NAK      TPE
 DEPT  ARVL   EFF     DSC    FREQ   CC  TRAIN EQP ORG  DST DD INH PRI
1210P 1218P 19FEB21 09APR21 -----F- AM   1637  H  NAK  TPE  0  N   N
1220P 1228P 14JAN21 10APR21    @    AM    129  H  NAK  TPE  0  N   N
1225P 1233P 09FEB21 14FEB21 S-TWTFS AM   1525  H  NAK  TPE  0  N   N
1235P 1243P 14JAN21 10APR21    @    AM    639  H  NAK  TPE  0  N   N
1240P 1248P 14JAN21 01JAN21 ----TF- AM   1225  H  NAK  TPE  0  N   N
1240P 1248P 08FEB21 14FEB21    @    AM   1225  H  NAK  TPE  0  N   N
1250P 1258P 14JAN21 01JAN21 -----F- AM   1315  H  NAK  TPE  0  N   N
1250P 1258P 13FEB21 13FEB21 ------S AM   1315  H  NAK  TPE  0  N   N
 100P  108P 14JAN21 10APR21    @    AM    829  H  NAK  TPE  0  N   N
 110P  118P 14JAN21 10APR21 S----FS AM   1643  H  NAK  TPE  0  N   N
 110P  118P 08FEB21 11FEB21 -M-WT-- AM   1643  H  NAK  TPE  0  N   N
 110P  118P 15FEB21 17FEB21 -MTW--- AM   1643  H  NAK  TPE  0  N   N
 120P  128P 14JAN21 10APR21    @    AM    133  H  NAK  TPE  0  N   N
 125P  133P 14JAN21 01JAN21 ----TF- AM   1529  H  NAK  TPE  0  N   N
 125P  133P 09FEB21 14FEB21 S-TWTFS AM   1529  H  NAK  TPE  0  N   N
 135P  143P 14JAN21 10APR21    @    AM    645  H  NAK  TPE  0  N   N
 140P  148P 14JAN21 03JAN21 S---TF- AM   1229  H  NAK  TPE  0  N   N
 140P  148P 08FEB21 16FEB21    @    AM   1229  H  NAK  TPE  0  N   N
 150P  158P 14JAN21 01JAN21 ----TF- AM   1317  H  NAK  TPE  0  N   N
 150P  158P 09FEB21 13FEB21 --TWTFS AM   1317  H  NAK  TPE  0  N   N
 200P  208P 14JAN21 10APR21    @    AM    833  H  NAK  TPE  0  N   N
 210P  218P 14JAN21 10APR21 S----FS AM   1649  H  NAK  TPE  0  N   N
 210P  218P 08FEB21 16FEB21 -MTWT-- AM   1649  H  NAK  TPE  0  N   N
 220P  228P 14JAN21 10APR21    @    AM    137  H  NAK  TPE  0  N   N
 225P  233P 14JAN21 03JAN21 S---TF- AM   1533  H  NAK  TPE  0  N   N
 225P  233P 08FEB21 15FEB21 -MTWTFS AM   1533  H  NAK  TPE  0  N   N
 235P  243P 14JAN21 10APR21    @    AM    651  H  NAK  TPE  0  N   N
 240P  248P 14JAN21 03JAN21 S---TF- AM   1233  H  NAK  TPE  0  N   N
 240P  248P 08FEB21 16FEB21    @    AM   1233  H  NAK  TPE  0  N   N
 250P  258P 09FEB21 12FEB21 --TWTF- AM   1319  H  NAK  TPE  0  N   N
 300P  308P 14JAN21 10APR21    @    AM    837  H  NAK  TPE  0  N   N
 310P  318P 14JAN21 10APR21 S----FS AM   1655  H  NAK  TPE  0  N   N
 310P  318P 08FEB21 16FEB21 -MTW--- AM   1655  H  NAK  TPE  0  N   N
 320P  328P 14JAN21 10APR21    @    AM    141  H  NAK  TPE  0  N   N
 325P  333P 14JAN21 03JAN21 S---TF- AM   1537  H  NAK  TPE  0  N   N
 325P  333P 08FEB21 14FEB21    @    AM   1537  H  NAK  TPE  0  N   N
 335P  343P 14JAN21 10APR21    @    AM    657  H  NAK  TPE  0  N   N
 340P  348P 14JAN21 07FEB21 S----F- AM   1237  H  NAK  TPE  0  N   N
 340P  348P 08FEB21 16FEB21    @    AM   1237  H  NAK  TPE  0  N   N
 340P  348P 19FEB21 09APR21 S----F- AM   1237  H  NAK  TPE  0  N   N
 350P  358P 14JAN21 08APR21 -MTWT-- AM   1321  H  NAK  TPE  0  N   N
 350P  358P 12FEB21 13FEB21 -----FS AM   1321  H  NAK  TPE  0  N   N
 400P  408P 14JAN21 10APR21    @    AM    841  H  NAK  TPE  0  N   N
 410P  418P 14JAN21 10APR21    @    AM    661  H  NAK  TPE  0  N   N
 420P  428P 14JAN21 10APR21    @    AM    145  H  NAK  TPE  0  N   N
 425P  433P 14JAN21 09APR21 S----F- AM   1541  H  NAK  TPE  0  N   N
 425P  433P 08FEB21 13FEB21 -M-WT-S AM   1541  H  NAK  TPE  0  N   N
 425P  433P 09FEB21 16FEB21 --T---- AM   1541  H  NAK  TPE  0  N   N
 435P  443P 14JAN21 10APR21    @    AM    663  H  NAK  TPE  0  N   N
 440P  448P 14JAN21 09APR21 SMTWTF- AM   1241  H  NAK  TPE  0  N   N
 440P  448P 13FEB21 13FEB21 ------S AM   1241  H  NAK  TPE  0  N   N
 450P  458P 13FEB21 13FEB21 ------S AM   1323  H  NAK  TPE  0  N   N
 500P  508P 14JAN21 10APR21    @    AM    845  H  NAK  TPE  0  N   N
