  NAK      TPE
 DEPT  ARVL   EFF     DSC    FREQ   CC  TRAIN EQP ORG  DST DD INH PRI
 625P  645P 14JAN21 07FEB21 S----F- AM   1549  H  NAK  BAC  0  N   N
 625P  645P 08FEB21 10FEB21 -MTW--- AM   1549  H  NAK  BAC  0  N   N
 625P  645P 14FEB21 09APR21 S----F- AM   1549  H  NAK  BAC  0  N   N
 635P  654P 14JAN21 10APR21    @    AM    675  H  NAK  BAC  0  N   N
 640P  658P 14JAN21 10FEB21    @    AM    249  H  NAK  BAC  0  N   N
 640P  658P 12FEB21 10APR21    @    AM    249  H  NAK  BAC  0  N   N
 700P  718P 14JAN21 10APR21    @    AM    853  H  NAK  BAC  0  N   N
 710P  728P 14JAN21 10APR21 S---TFS AM   1679  H  NAK  BAC  0  N   N
 710P  728P 08FEB21 17FEB21 -MTW--- AM   1679  H  NAK  BAC  0  N   N
 720P  738P 14JAN21 10APR21    @    AM    157  H  NAK  BAC  0  N   N
 725P  745P 14JAN21 07FEB21 S----F- AM   1553  H  NAK  BAC  0  N   N
 725P  745P 08FEB21 10FEB21 -MTW--- AM   1553  H  NAK  BAC  0  N   N
 725P  745P 14FEB21 09APR21 S----F- AM   1553  H  NAK  BAC  0  N   N
 735P  754P 14JAN21 10APR21    @    AM    681  H  NAK  BAC  0  N   N
 740P  758P 14JAN21 07FEB21 S----F- AM   1253  H  NAK  BAC  0  N   N
 740P  758P 08FEB21 16FEB21 SMTW--S AM   1253  H  NAK  BAC  0  N   N
 740P  758P 19FEB21 09APR21 S----F- AM   1253  H  NAK  BAC  0  N   N
 800P  818P 14JAN21 10APR21    @    AM    857  H  NAK  BAC  0  N   N
 810P  828P 14JAN21 10APR21 S----FS AM   1685  H  NAK  BAC  0  N   N
 810P  828P 08FEB21 16FEB21 -MTW--- AM   1685  H  NAK  BAC  0  N   N
 820P  838P 14JAN21 10APR21    @    AM    161  H  NAK  BAC  0  N   N
 825P  845P 14JAN21 07FEB21 S----F- AM   1557  H  NAK  BAC  0  N   N
 825P  845P 09FEB21 10FEB21 --TW--- AM   1557  H  NAK  BAC  0  N   N
 825P  845P 19FEB21 09APR21 S----F- AM   1557  H  NAK  BAC  0  N   N
 835P  854P 14JAN21 10APR21    @    AM    687  H  NAK  BAC  0  N   N
 840P  858P 14JAN21 07FEB21 S----F- AM   1257  H  NAK  BAC  0  N   N
 840P  858P 08FEB21 10FEB21 -MTW--- AM   1257  H  NAK  BAC  0  N   N
 840P  858P 14FEB21 09APR21 S----F- AM   1257  H  NAK  BAC  0  N   N
 900P  918P 14JAN21 10APR21    @    AM    861  H  NAK  BAC  0  N   N
 910P  928P 14JAN21 03JAN21 S---T-- AM   1691  H  NAK  BAC  0  N   N
 910P  928P 14JAN21 05FEB21 -----F- AM   1691  H  NAK  BAC  0  N   N
 910P  928P 08FEB21 08FEB21 -M----- AM   1691  H  NAK  BAC  0  N   N
 910P  928P 19FEB21 09APR21 -----F- AM   1691  H  NAK  BAC  0  N   N
 920P  938P 14JAN21 10APR21    @    AM    165  H  NAK  BAC  0  N   N
 930P  949P 14JAN21 10APR21    @    AM    693  H  NAK  BAC  0  N   N
 935P  953P 09FEB21 10FEB21 --TW--- AM   1293  H  NAK  BAC  0  N   N
 955P 1013P 14JAN21 07FEB21 S----F- AM   1563  H  NAK  BAC  0  N   N
 955P 1013P 09FEB21 10FEB21 --TW--- AM   1563  H  NAK  BAC  0  N   N
 955P 1013P 14FEB21 09APR21 S----F- AM   1563  H  NAK  BAC  0  N   N
1015P 1034P 14JAN21 10APR21    @    AM    565  H  NAK  BAC  0  N   N
1030P 1049P 14JAN21 30APR21    @    AM   1701  H  NAK  BAC  0  N   N
1050P 1107P 14JAN21 10APR21    @    AM    567  H  NAK  BAC  0  N   N

>RM*CPNAKTAY
  NAK      TAY
 DEPT  ARVL   EFF     DSC    FREQ   CC  TRAIN EQP ORG  DST DD INH PRI
1210A 1228A 14JAN21 30APR21    @    AM   1101  H  NAK  TAY  0  N   N
 615A  647A 14JAN21 10APR21    @    AM    803  H  NAK  TAY  0  N   N
 640A  713A 14JAN21 10APR21    @    AM    603  H  NAK  TAY  0  N   N
 700A  732A 14JAN21 10APR21    @    AM    805  H  NAK  TAY  0  N   N
 710A  741A 14JAN21 10APR21 ------S AM   1607  H  NAK  TAY  0  N   N
 710A  741A 14JAN21 01JAN21 -----F- AM   1607  H  NAK  TAY  0  N   N
 710A  741A 09FEB21 15FEB21 SMTWTF- AM   1607  H  NAK  TAY  0  N   N
 725A  759A 14JAN21 01JAN21 -MTWTFS AM   1505  H  NAK  TAY  0  N   N
 725A  759A 14JAN21 10APR21 -MTWTFS AM   1505  H  NAK  TAY  0  N   N
 725A  759A 14FEB21 14FEB21 S------ AM   1505  H  NAK  TAY  0  N   N
 735A  807A 14JAN21 10APR21    @    AM    609  H  NAK  TAY  0  N   N
 750A  818A 14JAN21 09APR21 -----F- AM   1305  H  NAK  TAY  0  N   N
 750A  818A 13FEB21 13FEB21 ------S AM   1305  H  NAK  TAY  0  N   N
 800A  832A 14JAN21 10APR21    @    AM    809  H  NAK  TAY  0  N   N
 810A  841A 14JAN21 10APR21    @    AM    613  H  NAK  TAY  0  N   N
 825A  859A 14JAN21 01JAN21 -----F- AM   1509  H  NAK  TAY  0  N   N
 825A  859A 14JAN21 10APR21 ----T-S AM   1509  H  NAK  TAY  0  N   N
 825A  859A 09FEB21 14FEB21 S-TW-F- AM   1509  H  NAK  TAY  0  N   N
 835A  907A 14JAN21 10APR21 ------S AM    615  H  NAK  TAY  0  N   N
 835A  907A 14JAN21 04JAN21 -M---F- AM    615  H  NAK  TAY  0  N   N
 835A  908A 14JAN21 03JAN21 S------ AM    615  H  NAK  TAY  0  N   N
 835A  908A 14JAN21 07FEB21 SMTWTF- AM    615  H  NAK  TAY  0  N   N
 835A  907A 08FEB21 15FEB21 SMTWTF- AM    615  H  NAK  TAY  0  N   N
 835A  908A 16FEB21 09APR21 SMTWTF- AM    615  H  NAK  TAY  0  N   N
 850A  918A 14JAN21 10APR21 --TWT-S AM   1307  H  NAK  TAY  0  N   N
 850A  918A 14JAN21 01JAN21 -----F- AM   1307  H  NAK  TAY  0  N   N
 850A  918A 12FEB21 14FEB21 S----F- AM   1307  H  NAK  TAY  0  N   N
 900A  932A 14JAN21 10APR21    @    AM    813  H  NAK  TAY  0  N   N
 910A  941A 14JAN21 10APR21    @    AM    619  H  NAK  TAY  0  N   N
 925A  959A 14JAN21 01JAN21 -----FS AM   1513  H  NAK  TAY  0  N   N
 925A  959A 14JAN21 06FEB21 ------S AM   1513  H  NAK  TAY  0  N   N
 925A  959A 09FEB21 15FEB21    @    AM   1513  H  NAK  TAY  0  N   N
 925A  959A 20FEB21 10APR21 ------S AM   1513  H  NAK  TAY  0  N   N
 935A 1007A 14JAN21 10APR21 ------S AM    621  H  NAK  TAY  0  N   N
 935A 1007A 14JAN21 01JAN21 ----TF- AM    621  H  NAK  TAY  0  N   N
 935A 1008A 14JAN21 07FEB21 SMTWTF- AM    621  H  NAK  TAY  0  N   N
 935A 1007A 08FEB21 17FEB21 SMTWTF- AM    621  H  NAK  TAY  0  N   N
 935A 1008A 18FEB21 09APR21 SMTWTF- AM    621  H  NAK  TAY  0  N   N
 950A 1018A 14JAN21 10APR21 ------S AM   1309  H  NAK  TAY  0  N   N
 950A 1018A 09FEB21 14FEB21 S-TWTF- AM   1309  H  NAK  TAY  0  N   N
1000A 1032A 14JAN21 10APR21    @    AM    817  H  NAK  TAY  0  N   N
1010A 1041A 14JAN21 10APR21    @    AM    625  H  NAK  TAY  0  N   N
1025A 1059A 14JAN21 01JAN21 -----F- AM   1517  H  NAK  TAY  0  N   N
1025A 1059A 09FEB21 14FEB21 S-TWTFS AM   1517  H  NAK  TAY  0  N   N
1035A 1107A 14JAN21 10APR21 ------S AM    627  H  NAK  TAY  0  N   N
1035A 1107A 14JAN21 01JAN21 ----TF- AM    627  H  NAK  TAY  0  N   N
1035A 1108A 14JAN21 07FEB21 SMTWTF- AM    627  H  NAK  TAY  0  N   N
1035A 1107A 08FEB21 17FEB21 SMTWTF- AM    627  H  NAK  TAY  0  N   N
1035A 1108A 18FEB21 09APR21 SMTWTF- AM    627  H  NAK  TAY  0  N   N
1050A 1118A 11FEB21 12FEB21 ----TF- AM   1311  H  NAK  TAY  0  N   N
1100A 1132A 14JAN21 10APR21    @    AM    821  H  NAK  TAY  0  N   N
1110A 1141A 14JAN21 06FEB21 ------S AM   1631  H  NAK  TAY  0  N   N
1110A 1141A 14JAN21 03JAN21 S---TF- AM   1631  H  NAK  TAY  0  N   N
1110A 1141A 08FEB21 16FEB21    @    AM   1631  H  NAK  TAY  0  N   N
1110A 1141A 20FEB21 10APR21 ------S AM   1631  H  NAK  TAY  0  N   N
1125A 1159A 14JAN21 01JAN21 -----F- AM   1521  H  NAK  TAY  0  N   N
1125A 1159A 09FEB21 14FEB21 S-TWTFS AM   1521  H  NAK  TAY  0  N   N
1135A 1207P 14JAN21 01JAN21 -----F- AM    633  H  NAK  TAY  0  N   N
1135A 1208P 14JAN21 08FEB21    @    AM    633  H  NAK  TAY  0  N   N
1135A 1207P 09FEB21 16FEB21    @    AM    633  H  NAK  TAY  0  N   N
1135A 1208P 17FEB21 10APR21    @    AM    633  H  NAK  TAY  0  N   N
1200N 1232P 14JAN21 10APR21    @    AM    825  H  NAK  TAY  0  N   N
1210P 1241P 14JAN21 05FEB21 -----F- AM   1637  H  NAK  TAY  0  N   N
1210P 1241P 14JAN21 03JAN21 S---T-- AM   1637  H  NAK  TAY  0  N   N
1210P 1241P 08FEB21 16FEB21    @    AM   1637  H  NAK  TAY  0  N   N
1210P 1241P 19FEB21 09APR21 -----F- AM   1637  H  NAK  TAY  0  N   N
1225P 1259P 09FEB21 14FEB21 S-TWTFS AM   1525  H  NAK  TAY  0  N   N
1235P  107P 14JAN21 01JAN21 ----TF- AM    639  H  NAK  TAY  0  N   N
1235P  108P 14JAN21 07FEB21    @    AM    639  H  NAK  TAY  0  N   N
1235P  107P 08FEB21 16FEB21    @    AM    639  H  NAK  TAY  0  N   N
1235P  108P 17FEB21 10APR21    @    AM    639  H  NAK  TAY  0  N   N
1250P  118P 14JAN21 01JAN21 -----F- AM   1315  H  NAK  TAY  0  N   N
1250P  118P 13FEB21 13FEB21 ------S AM   1315  H  NAK  TAY  0  N   N
 100P  132P 14JAN21 10APR21    @    AM    829  H  NAK  TAY  0  N   N
 110P  141P 14JAN21 10APR21 S----FS AM   1643  H  NAK  TAY  0  N   N
 110P  141P 08FEB21 11FEB21 -M-WT-- AM   1643  H  NAK  TAY  0  N   N
 110P  141P 15FEB21 17FEB21 -MTW--- AM   1643  H  NAK  TAY  0  N   N
 125P  159P 14JAN21 01JAN21 ----TF- AM   1529  H  NAK  TAY  0  N   N
 125P  159P 09FEB21 14FEB21 S-TWTFS AM   1529  H  NAK  TAY  0  N   N
 135P  207P 14JAN21 03JAN21 S---TF- AM    645  H  NAK  TAY  0  N   N
 135P  208P 14JAN21 02JAN21 ------S AM    645  H  NAK  TAY  0  N   N
 135P  208P 14JAN21 07FEB21    @    AM    645  H  NAK  TAY  0  N   N
 135P  207P 08FEB21 16FEB21    @    AM    645  H  NAK  TAY  0  N   N
 135P  208P 17FEB21 10APR21    @    AM    645  H  NAK  TAY  0  N   N
 150P  218P 14JAN21 01JAN21 ----TF- AM   1317  H  NAK  TAY  0  N   N
 150P  218P 09FEB21 13FEB21 --TWTFS AM   1317  H  NAK  TAY  0  N   N
 200P  232P 14JAN21 10APR21    @    AM    833  H  NAK  TAY  0  N   N
 210P  241P 14JAN21 10APR21 S----FS AM   1649  H  NAK  TAY  0  N   N
 210P  241P 08FEB21 16FEB21 -MTWT-- AM   1649  H  NAK  TAY  0  N   N
 225P  259P 14JAN21 03JAN21 S---TF- AM   1533  H  NAK  TAY  0  N   N
 225P  259P 08FEB21 15FEB21 -MTWTFS AM   1533  H  NAK  TAY  0  N   N
 235P  307P 14JAN21 03JAN21 S---TF- AM    651  H  NAK  TAY  0  N   N
 235P  308P 14JAN21 02JAN21 ------S AM    651  H  NAK  TAY  0  N   N
 235P  308P 14JAN21 07FEB21    @    AM    651  H  NAK  TAY  0  N   N
 235P  307P 08FEB21 16FEB21    @    AM    651  H  NAK  TAY  0  N   N
 235P  308P 17FEB21 10APR21    @    AM    651  H  NAK  TAY  0  N   N
 250P  318P 09FEB21 12FEB21 --TWTF- AM   1319  H  NAK  TAY  0  N   N
 300P  332P 14JAN21 10APR21    @    AM    837  H  NAK  TAY  0  N   N
 310P  341P 14JAN21 10APR21 S----FS AM   1655  H  NAK  TAY  0  N   N
 310P  341P 08FEB21 16FEB21 -MTW--- AM   1655  H  NAK  TAY  0  N   N
 325P  359P 14JAN21 03JAN21 S---TF- AM   1537  H  NAK  TAY  0  N   N
 325P  359P 08FEB21 14FEB21    @    AM   1537  H  NAK  TAY  0  N   N
 335P  407P 14JAN21 09APR21 S----F- AM    657  H  NAK  TAY  0  N   N
 335P  408P 14JAN21 06FEB21 -MTWT-S AM    657  H  NAK  TAY  0  N   N
 335P  407P 08FEB21 16FEB21 -MTWT-S AM    657  H  NAK  TAY  0  N   N
 335P  408P 17FEB21 10APR21 -MTWT-S AM    657  H  NAK  TAY  0  N   N
 350P  418P 14JAN21 08APR21 -MTWT-- AM   1321  H  NAK  TAY  0  N   N
 350P  418P 12FEB21 13FEB21 -----FS AM   1321  H  NAK  TAY  0  N   N
 400P  432P 14JAN21 10APR21    @    AM    841  H  NAK  TAY  0  N   N
 410P  441P 14JAN21 10APR21    @    AM    661  H  NAK  TAY  0  N   N
 425P  459P 14JAN21 09APR21 S----F- AM   1541  H  NAK  TAY  0  N   N
 425P  459P 08FEB21 13FEB21 -M-WT-S AM   1541  H  NAK  TAY  0  N   N
 425P  459P 09FEB21 16FEB21 --T---- AM   1541  H  NAK  TAY  0  N   N
 435P  507P 14JAN21 09APR21 SMTWTF- AM    663  H  NAK  TAY  0  N   N
 435P  508P 14JAN21 06FEB21 ------S AM    663  H  NAK  TAY  0  N   N
 435P  507P 13FEB21 13FEB21 ------S AM    663  H  NAK  TAY  0  N   N
 435P  508P 20FEB21 10APR21 ------S AM    663  H  NAK  TAY  0  N   N
 450P  518P 13FEB21 13FEB21 ------S AM   1323  H  NAK  TAY  0  N   N
 500P  532P 14JAN21 10APR21    @    AM    845  H  NAK  TAY  0  N   N
 510P  541P 14JAN21 10APR21    @    AM    667  H  NAK  TAY  0  N   N
 525P  559P 14JAN21 09APR21 S----F- AM   1545  H  NAK  TAY  0  N   N
 525P  559P 08FEB21 13FEB21 -MTW--S AM   1545  H  NAK  TAY  0  N   N
 535P  607P 14JAN21 09APR21 S---TF- AM    669  H  NAK  TAY  0  N   N
 535P  608P 14JAN21 06FEB21 -MTW--S AM    669  H  NAK  TAY  0  N   N
 535P  607P 08FEB21 16FEB21 -MTW--S AM    669  H  NAK  TAY  0  N   N
 535P  608P 17FEB21 10APR21 -MTW--S AM    669  H  NAK  TAY  0  N   N
 550P  618P 09FEB21 13FEB21 --TW--S AM   1325  H  NAK  TAY  0  N   N
 600P  632P 14JAN21 10APR21    @    AM    849  H  NAK  TAY  0  N   N
 610P  641P 14JAN21 10APR21    @    AM    673  H  NAK  TAY  0  N   N
 625P  659P 14JAN21 07FEB21 S----F- AM   1549  H  NAK  TAY  0  N   N
 625P  659P 08FEB21 10FEB21 -MTW--- AM   1549  H  NAK  TAY  0  N   N
 625P  659P 14FEB21 09APR21 S----F- AM   1549  H  NAK  TAY  0  N   N
 635P  707P 14JAN21 10FEB21    @    AM    675  H  NAK  TAY  0  N   N
 635P  708P 11FEB21 11FEB21 ----T-- AM    675  H  NAK  TAY  0  N   N
 635P  707P 12FEB21 10APR21    @    AM    675  H  NAK  TAY  0  N   N
 650P  718P 14JAN21 05FEB21 -----F- AM   1327  H  NAK  TAY  0  N   N
 650P  718P 08FEB21 13FEB21 -MTW--S AM   1327  H  NAK  TAY  0  N   N
 650P  718P 19FEB21 09APR21 -----F- AM   1327  H  NAK  TAY  0  N   N
 700P  732P 14JAN21 10APR21    @    AM    853  H  NAK  TAY  0  N   N
 710P  741P 14JAN21 10APR21 S---TFS AM   1679  H  NAK  TAY  0  N   N
 710P  741P 08FEB21 17FEB21 -MTW--- AM   1679  H  NAK  TAY  0  N   N
 725P  759P 14JAN21 07FEB21 S----F- AM   1553  H  NAK  TAY  0  N   N
 725P  759P 08FEB21 10FEB21 -MTW--- AM   1553  H  NAK  TAY  0  N   N
 725P  759P 14FEB21 09APR21 S----F- AM   1553  H  NAK  TAY  0  N   N
 735P  807P 14JAN21 07FEB21 S----F- AM    681  H  NAK  TAY  0  N   N
 735P  808P 14JAN21 06FEB21 -MTWT-S AM    681  H  NAK  TAY  0  N   N
 735P  807P 08FEB21 16FEB21 -MTW--S AM    681  H  NAK  TAY  0  N   N
 735P  808P 11FEB21 12FEB21 ----TF- AM    681  H  NAK  TAY  0  N   N
 735P  807P 14FEB21 09APR21 S----F- AM    681  H  NAK  TAY  0  N   N
 735P  808P 17FEB21 10APR21 -MTWT-S AM    681  H  NAK  TAY  0  N   N
 750P  818P 09FEB21 10FEB21 --TW--- AM   1329  H  NAK  TAY  0  N   N
 800P  832P 14JAN21 10APR21    @    AM    857  H  NAK  TAY  0  N   N
 810P  841P 14JAN21 10APR21 S----FS AM   1685  H  NAK  TAY  0  N   N
 810P  841P 08FEB21 16FEB21 -MTW--- AM   1685  H  NAK  TAY  0  N   N
 825P  859P 14JAN21 07FEB21 S----F- AM   1557  H  NAK  TAY  0  N   N
 825P  859P 09FEB21 10FEB21 --TW--- AM   1557  H  NAK  TAY  0  N   N
 825P  859P 19FEB21 09APR21 S----F- AM   1557  H  NAK  TAY  0  N   N
 835P  907P 14JAN21 07FEB21 S----F- AM    687  H  NAK  TAY  0  N   N
 835P  908P 14JAN21 06FEB21 -MTWT-S AM    687  H  NAK  TAY  0  N   N
 835P  907P 08FEB21 10FEB21 -MTW--- AM    687  H  NAK  TAY  0  N   N
 835P  908P 11FEB21 10APR21 -MTWT-S AM    687  H  NAK  TAY  0  N   N
 835P  908P 12FEB21 12FEB21 -----F- AM    687  H  NAK  TAY  0  N   N
 835P  907P 14FEB21 09APR21 S----F- AM    687  H  NAK  TAY  0  N   N
 850P  918P 09FEB21 10FEB21 --TW--- AM   1331  H  NAK  TAY  0  N   N
 900P  932P 14JAN21 10APR21    @    AM    861  H  NAK  TAY  0  N   N
 910P  941P 14JAN21 03JAN21 S---T-- AM   1691  H  NAK  TAY  0  N   N
 910P  941P 14JAN21 05FEB21 -----F- AM   1691  H  NAK  TAY  0  N   N
 910P  941P 08FEB21 08FEB21 -M----- AM   1691  H  NAK  TAY  0  N   N
 910P  941P 19FEB21 09APR21 -----F- AM   1691  H  NAK  TAY  0  N   N
 930P 1003P 14JAN21 08FEB21    @    AM    693  H  NAK  TAY  0  N   N
 930P 1002P 09FEB21 10FEB21 --TW--- AM    693  H  NAK  TAY  0  N   N
 930P 1003P 11FEB21 10APR21    @    AM    693  H  NAK  TAY  0  N   N
 945P 1013P 14JAN21 10APR21    @    AM    333  H  NAK  TAY  0  N   N
 955P 1025P 14JAN21 07FEB21 S----F- AM   1563  H  NAK  TAY  0  N   N
 955P 1025P 09FEB21 10FEB21 --TW--- AM   1563  H  NAK  TAY  0  N   N
 955P 1025P 14FEB21 09APR21 S----F- AM   1563  H  NAK  TAY  0  N   N
1000P 1029P 14JAN21 30APR21    @    AM   1337  H  NAK  TAY  0  N   N
1005P 1033P 14JAN21 10APR21    @    AM    295  H  NAK  TAY  0  N   N
1015P 1046P 14JAN21 10APR21    @    AM    565  H  NAK  TAY  0  N   N
1030P 1103P 14JAN21 30APR21    @    AM   1701  H  NAK  TAY  0  N   N
1050P 1119P 14JAN21 10APR21    @    AM    567  H  NAK  TAY  0  N   N
